공         종,규     격,단위,1. 배 수 공,2. 구조물공,3.포장공,4.부대공,계,할증,계,
터   파   기,토    사,㎥,10383.1278625,,0,0,10383.1278625,,10383.1278625,
터   파   기,리 핑 암,㎥,0,,0,,0,,0,
되 메 우 기,토    사,㎥,5830.6656875,,0,#REF!,#REF!,,#REF!,
잔         토,토    사,㎥,5026.4165,,0,#REF!,#REF!,,#REF!,
콘 크 리 트,25-270-15,㎥,,0,,,0,,0,
,25-240-15,㎥,675.578,0,,,675.578,,675.578,
,25-210-12,㎥,0,,0,,0,,0,
,25-210-8,㎥,635.657,0,0,#REF!,#REF!,,#REF!,
,25-180-8,㎥,0,,,#REF!,#REF!,,#REF!,
,25-160-8,㎥,70.668,0,,,70.668,,70.668,
,40-160-15,㎥,,0,,,0,,0,
거푸집,합 판 3 회,㎡,,0,0,,0,,0,
,합 판 4 회,㎡,2073.56,0,0,#REF!,#REF!,,#REF!,
,합 판 6 회,㎡,1412.0814999999998,0,0,#REF!,#REF!,,#REF!,
,외벽(유로폼),㎡,2780.1440000000002,0,,,2780.1440000000002,,2780.1440000000002,
,내벽(유로폼),㎡,,0,,,0,,0,
,기초(유로폼),㎡,,0,,,0,,0,
,문양거푸집,㎡,,0,,,0,,0,
철          근,D10,TON,0,,,,0,,0,
,D13,TON,0.041,0,,#REF!,#REF!,,#REF!,
,D16,TON,0,0,,,0,,0,
,D19,TON,0,0,,,0,,0,
,D22,TON,0,0,,0,0,,0,
,D25,TON,0,0,,0,0,,0,
,계,TON,0.041,0,0,#REF!,#REF!,,#REF!,
철          근,H13,TON,28.839,0,,,28.839,,28.839,
,H16,TON,15.656,0,,,15.656,,15.656,
,H19,TON,23.369,0,,,23.369,,23.369,
,H22,TON,0,0,,,0,,0,
,H25,TON,0,0,,,0,,0,
,H29,TON,0,0,,,0,,0,
,계,TON,67.864,0,0,0,67.864,,67.864,#REF!
개비온옹벽쌓기,,㎥,,1147,,,1147,,2294,
잡    석,Φ50m/m,㎥,3018.91,0,,#REF!,#REF!,,#REF!,
와이어메쉬,#8-100*100,㎡,,,0,,0,,0,
배   수   관,PVC Φ50,m,136.92000000000002,0,,,136.92000000000002,,136.92000000000002,
유   공   관,D200,m,80,0,,,80,,80,
P V C 관,D250,m,154,,,,154,,154,
,D450,m,0,,,,0,,0,
,D600,m,0,,,,0,,0,
흄관,D600,m,381.5,,,,381.5,,381.5,
,D800,m,519.5,,,,519.5,,519.5,207.8
,D1000,m,429,,,,429,,429,171.6
스틸그레이팅,1.5x1.5,EA,80,,,,80,,80,
,1.5x1.5,EA,80,,,,80,,80,
,1100*1100*50,EA,90,,,,90,,90,
,1600*1600*75,EA,0,,,,0,,0,
몰    탈,1 : 2,㎥,1.323175,,,,1.323175,,1.323175,
,1 : 3,㎥,,,0,,0,,0,
우수받이,520*395*400,조,80,,,,80,,80,
오수맨홀,,EA,0,,,,0,,0,
게비온,1.0*1.0*1.0,EA,,123,,,123,,246,
,1.0*1.0*1.5,EA,,226,,,226,,452,
,1.0*0.5*2.0,EA,,162,,,162,,324,
,1.0*1.0*2.0,EA,,262,,,262,,524,
수로관,500C,m,80,,,,80,,80,40
,600C,m,12.3,,,,12.3,,12.3,6.15
,1000B,m,51.6,,,,51.6,,51.6,25.8
,1000C,m,58.232,,,,58.232,,58.232,29.116
"생태이동
수로관",500C,ea,80,,,,80,,80,
,600C,ea,80,,,,80,,80,
,1000B,ea,80,,,,80,,80,
,1000C,ea,80,,,,,,,
비       계,강관,㎡,,0,,,0,,0,
모       래,,㎥,210.23600000000002,,0,,210.23600000000002,,210.23600000000002,
노       견,,,,,2507.1,,2507.1,,5014.2,
보조기층,50mm이하,㎥,,,1510,,1510,,3020,
동상방지층,100mm이하,㎥,,,96.52,,96.52,,193.04,
아 스 콘,# 78 표층용,톤,,,0,,0,,0,
,#467 기층용,톤,,,0,,0,,0,
아스팔트,RSC-4,D/M,,,354.19,,354.19,,708.38,
,MC-1,D/M,,,24.389,,24.389,,48.778,
스페이서,슬래브용,㎡,593.4000000000001,0,,,593.4000000000001,,593.4000000000001,
,벽체용,㎡,572.76,0,,,572.76,,572.76,
동 바 리,강관,공/㎥,1447.35,0,,,1447.35,,1447.35,
,수평연결,공/㎥,,0,,,0,,0,
지수판,200X5T,m,0,0,,,0,,0,
채  움  제,(역청코르크제품)T=20m/m,㎡,,0,,,0,,0,
DOWEL BAR,(원형봉강)SR30 D30 L=600,톤,,0,,,0,,0,
DRAIN BOARD,,M2,,0,,,,,,
수팽창지수제,,m,242.5,,,,242.5,,242.5,
백 업 재,Φ25,m,,0,,,0,,0,
부직포,,㎡,25.92,637.5999999999999,,,663.5199999999999,,1301.12,
ASP방수,방수공1회,㎡,,0,,,0,,0,
면고르기,,㎡,,0,,,0,,0,
ASCON 포장,T=50mm,㎡,,0,,,0,,0,
택코팅,RSC-1,㎡,,0,,,0,,0,
교면방수,침투식,㎡,,0,,,0,,0,
교명판,0,㎡,,0,,,0,,0,
설명판,0,㎡,,0,,,0,,0,
TBM설치,0,㎡,,0,,,0,,0,
교명주,0,㎡,,0,,,0,,0,
NOTCH,0,㎡,,0,,,0,,0,
난간 ,0,㎡,,0,,,0,,0,
전선관,0,㎡,,0,,,0,,0,
비계다리,0,㎡,,0,,,0,,0,
슬래브양생,,㎡,,0,,,0,,0,
콘크리트양생,,㎡,,0,,,0,,0,
도로경계석,0,m,,,0,,0,,0,
보차도경계석,0,m,,,0,,0,,0,
보차도경계석,0,,,,0,,0,,0,
도로 표지병,130 x 110 x 30(일면),EA,,,,,0,,0,
,130 x 110 x 30(양면),EA,,,,9,9,,18,
"노  면  표  시
( 융 착 식 )",황 색 실 선,㎡,,,,0,0,,0,
,백 색 실 선,㎡,,,,20.55,20.55,,41.1,
,백 색 파 선,㎡,,,,0,0,,0,
,백색(횡단보도),㎡,,,,154.20000000000002,154.20000000000002,,308.40000000000003,
,"백색(문자,기호)",㎡,,,,9.68,9.68,,19.36,
준공 표지판,,개소,,,,,0,,0,
갈매기 표지,양    면,EA,,,,20,20,,40,
시선유도 표지,토 공 용,EA,,,,#REF!,#REF!,,#REF!,
,옹 벽 용,EA,,,,#REF!,#REF!,,#REF!,
,가드레일용,EA,,,,0,0,,0,
"가 드 레 일
(토 공 용)",#REF!,EA,,,,#REF!,#REF!,,#REF!,
,표준레일,EA,,,,#REF!,#REF!,,#REF!,
,단부레일,EA,,,,0,0,,0,
"가 드 레 일
(옹벽용)",레일포스트,EA,,,,,0,,0,
,표준레일,EA,,,,,0,,0,
,단부레일,EA,,,,,0,,0,
가드레일 철거,레일포스트,EA,,,,,0,,0,
,표준레일,EA,,,,,0,,0,
,단부레일,EA,,,,,0,,0,
삼각  표지판,"1,200 X 1,039",EA,,,,#REF!,#REF!,,#REF!,
원형 표지판,D 900,EA,,,,#REF!,#REF!,,#REF!,
삼각+삼각표지판,"1,200 X 1,039",EA,,,,0,0,,0,
원형+보조표지판,D 900 + 900 X 450,EA,,,,0,0,,0,
안내 표지판 이설,"4,000 x 2,500",EA,,,,#REF!,#REF!,,#REF!,
낙석방지책,표준부,EA,,,,#REF!,#REF!,,#REF!,
,단부,EA,,,,#REF!,#REF!,,#REF!,
표지판 폐기,,EA,,,,,0,,0,
가설사무실,현장사무소,㎡,,,,#REF!,#REF!,,#REF!,
,기자재창고,㎡,,,,0,0,,0,
,숙      소,㎡,,,,#REF!,#REF!,,#REF!,
법면녹화,담덩쿨쟁이,m,,,0,#REF!,#REF!,,#REF!,
터파기,,개소,,,,0,0,,0,
