보-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
측점,거리,절토,,,,,,,,,,,,,,,,,,,,,,,,,,성토,,,,,,,,,,무대,,부족토,잔토,비탈면보호공,,,,,,,,,
,,토사,,,풍화암,,,연암,,,보통암,,,인력터파기,,기계터파기,,,,,,,,,,,계,비다짐,,,되메우기,,,,,,계,,,,,,,,,,,,,,
,,,,,,,,,,,,,,토사,,토사,,풍화암,,,연암,,,보통암,,,,,,,노상,,,노체,,,,,,,,줄떼,,평떼,,풍화암,,연암,,보통암,
,,A,V,V*C,A,V,V*C,A,V,V*C,A,V,V*C,A,V,A,V,A,V,V*C,A,V,V*C,A,V,V*C,V*C,A,V,V/C,A,V,V/C,A,V,V/C,V/C,전체,토사,,,L,A,L,A,L,A,L,A,L,A
(1)  NO. 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 3,20,0.3917916507440111,3.917916507440111,3.917916507440111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.917916507440111,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0.7345676146733396,7.345676146733396,0,0,0,0,0,0
(1)  NO. 3+16.09,16.088760938768587,1.6579380685053309,16.488805721045956,16.488805721045956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.488805721045956,2.0262530089612483,16.299950131319022,16.299950131319022,0,0,0,0,0,0,16.299950131319022,,,,,0,0,0,5.909141372920421,0,0,0,0,0,0
(1)  NO. 4+10.02,13.935599636754361,0.013569722386023386,11.64673168178882,11.64673168178882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64673168178882,9.40565805737117,79.6552678516951,79.6552678516951,0,0,0,0,0,0,79.6552678516951,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,50.02436057552295,2.0632994416353654,32.05345391027489,32.05345391027489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.05345391027489,11.431911066332418,95.95521798301412,95.95521798301412,0,0,0,0,0,0,95.95521798301412,32.05345391027489,32.05345391027489,63.90176407273923,0,0,0,0.7345676146733396,13.254817519653816,0,0,0,0,0,0
(1)  NO. 5,9.975639424477052,5.5999940518370295,27.999444048977843,27.999444048977843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.999444048977843,0,46.913726665131044,46.913726665131044,0,0,0,0,0,0,46.913726665131044,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 6,20,1.5610583251049661,71.61052376941996,71.61052376941996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.61052376941996,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 6+11.67,11.67290809257068,1.3954071644328678,17.25527496911606,17.25527496911606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25527496911606,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,41.64854751704773,8.556459541374863,116.86524278751385,116.86524278751385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.86524278751385,0,46.913726665131044,46.913726665131044,0,0,0,0,0,0,46.913726665131044,46.913726665131044,46.913726665131044,0,69.9515161223828,0,0,0,0,0,0,0,0,0,0
(1)  NO. 7,8.32709190742932,0,5.809841853258915,5.809841853258915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.809841853258915,0.02550548087953075,0.10619324171351689,0.10619324171351689,0,0,0,0,0,0,0.10619324171351689,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 7+11.59,11.594414419786034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4494032623101418,2.753144390060401,2.753144390060401,0,0,0,0,0,0,2.753144390060401,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 8,8.405585580213966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6024230507378974,12.826193625137076,12.826193625137076,0,0,0,0,0,0,12.826193625137076,,,,,0,0,0,0,0,0,0,0,0,0
(1)  NO. 8+15.43,15.432837266990646,0.00036819889618300294,0.002841176823338934,0.002841176823338934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002841176823338934,1.4485202473996992,31.258774348981948,31.258774348981948,0,0,0,0,0,0,31.258774348981948,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,43.759929174419966,0.00036819889618300294,5.812683030082254,5.812683030082254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.812683030082254,4.525852041327269,46.94430560589294,46.94430560589294,0,0,0,0,0,0,46.94430560589294,5.812683030082254,5.812683030082254,41.13162257581069,0,0,0,0,0,0,0,0,0,0,0
(1)  NO. 8+17.24,1.809976986555455,0.618577154157208,0.5601384224810394,0.5601384224810394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5601384224810394,0.12276028254817106,1.4219907993141523,1.4219907993141523,0,0,0,0,0,0,1.4219907993141523,,,,,0,0,0,0,0,0,0,0,0,0
(1)  소계,1.809976986555455,0.618577154157208,0.5601384224810394,0.5601384224810394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5601384224810394,0.12276028254817106,1.4219907993141523,1.4219907993141523,0,0,0,0,0,0,1.4219907993141523,0.5601384224810394,0.5601384224810394,0.8618523768331129,0,0,0,0,0,0,0,0,0,0,0
(1)  총계,177.2428142535461,11.23870433606362,155.29151815035203,155.29151815035203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.29151815035203,16.08052339020786,191.2352410533523,191.2352410533523,0,0,0,0,0,0,191.2352410533523,85.34000202796923,85.34000202796923,105.89523902538303,69.9515161223828,0,0,0.7345676146733396,13.254817519653816,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2)  NO. 0,0,0.3245399597779368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019540990990662976,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 1,20,0,3.245399597779368,3.245399597779368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245399597779368,4.221100605088225,42.21296014998131,42.21296014998131,0,0,0,0,0,0,42.21296014998131,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.129304243521005,163.5040484860923,163.5040484860923,0,0,0,0,0,0,163.5040484860923,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,40,0.3245399597779368,3.245399597779368,3.245399597779368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245399597779368,16.350600258519137,205.71700863607361,205.71700863607361,0,0,0,0,0,0,205.71700863607361,3.245399597779368,3.245399597779368,202.47160903829425,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.29304243521005,121.29304243521005,0,0,0,0,0,0,121.29304243521005,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 3+16.09,16.088760938768587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 4+10.02,13.935599636754361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,50.02436057552295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.29304243521005,121.29304243521005,0,0,0,0,0,0,121.29304243521005,0,0,121.29304243521005,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 5,9.975639424477052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 6+11.67,11.67290809257068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,41.64854751704773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 7,8.32709190742932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4980026859460622,10.400548975439081,10.400548975439081,0,0,0,0,0,0,10.400548975439081,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 7+11.59,11.594414419786034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.666127908488647,41.531949534672044,41.531949534672044,0,0,0,0,0,0,41.531949534672044,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 8,8.405585580213966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.805855997023627,52.41716403641732,52.41716403641732,0,0,0,0,0,0,52.41716403641732,,,,,0,0,0,0,0,0,0,0,0,0
(2)  NO. 8+15.43,15.432837266990646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.233252665814334,60.233252665814334,0,0,0,0,0,0,60.233252665814334,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,43.759929174419966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.969986591458337,164.58291521234275,164.58291521234275,0,0,0,0,0,0,164.58291521234275,0,0,164.58291521234275,0,0,0,0,0,0,0,0,0,0,0
(2)  NO. 8+17.24,1.809976986555455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0
(2)  소계,1.809976986555455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(2)  총계,177.2428142535461,0.3245399597779368,3.245399597779368,3.245399597779368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245399597779368,31.320586849977474,491.5929662836265,491.5929662836265,0,0,0,0,0,0,491.5929662836265,3.245399597779368,3.245399597779368,488.347566685847,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(1),177.2428142535461,11.23870433606362,155.29151815035203,155.29151815035203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.29151815035203,16.08052339020786,191.2352410533523,191.2352410533523,0,0,0,0,0,0,191.2352410533523,85.34000202796923,85.34000202796923,105.89523902538303,69.9515161223828,0,0,0.7345676146733396,13.254817519653816,0,0,0,0,0,0
(2),177.2428142535461,0.3245399597779368,3.245399597779368,3.245399597779368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245399597779368,31.320586849977474,491.5929662836265,491.5929662836265,0,0,0,0,0,0,491.5929662836265,3.245399597779368,3.245399597779368,488.347566685847,0,0,0,0,0,0,0,0,0,0,0
총계,354.4856285070922,11.563244295841557,158.5369177481314,158.5369177481314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.5369177481314,47.40111024018533,682.8282073369787,682.8282073369787,0,0,0,0,0,0,682.8282073369787,88.5854016257486,88.5854016257486,594.2428057112301,69.9515161223828,0,0,0.7345676146733396,13.254817519653816,0,0,0,0,0,0
